PID,NAME,RA_d,DEC_d
HYDRA,HYDRA_0011,150.7696,-23.9087
HYDRA,HYDRA_0012,152.3080,-23.9087
HYDRA,HYDRA_0013,153.8465,-23.9087
HYDRA,HYDRA_0014,155.3849,-23.9087
HYDRA,HYDRA_0015,156.9234,-23.9087
HYDRA,HYDRA_0016,158.4619,-23.9087
HYDRA,HYDRA_0017,160.0004,-23.9087
HYDRA,HYDRA_0018,161.5388,-23.9087
HYDRA,HYDRA_0019,163.0772,-23.9087
HYDRA,HYDRA_0020,164.6157,-23.9087
HYDRA,HYDRA_0021,151.1692,-25.3002
HYDRA,HYDRA_0022,152.7276,-25.3002
HYDRA,HYDRA_0023,154.2861,-25.3002
HYDRA,HYDRA_0024,155.8445,-25.3002
HYDRA,HYDRA_0025,157.4030,-25.3002
HYDRA,HYDRA_0026,158.9614,-25.3002
HYDRA,HYDRA_0027,160.5198,-25.3002
HYDRA,HYDRA_0028,162.0783,-25.3001
HYDRA,HYDRA_0029,163.6367,-25.3002
HYDRA,HYDRA_0030,150.0007,-26.6903
HYDRA,HYDRA_0031,151.5793,-26.6897
HYDRA,HYDRA_0032,153.1585,-26.6902
HYDRA,HYDRA_0033,154.7375,-26.6902
HYDRA,HYDRA_0034,156.3165,-26.6903
HYDRA,HYDRA_0035,157.8951,-26.6897
HYDRA,HYDRA_0036,159.4740,-26.6897
HYDRA,HYDRA_0037,161.0530,-26.6897
HYDRA,HYDRA_0038,162.6322,-26.6903
HYDRA,HYDRA_0039,164.2109,-26.6897
HYDRA,HYDRA_0040,151.3278,-28.0773
HYDRA,HYDRA_0041,152.9207,-28.0773
HYDRA,HYDRA_0042,154.5137,-28.0773
HYDRA,HYDRA_0043,156.1068,-28.0778
HYDRA,HYDRA_0044,157.6995,-28.0773
HYDRA,HYDRA_0045,159.2924,-28.0773
HYDRA,HYDRA_0046,160.8853,-28.0772
HYDRA,HYDRA_0047,162.4785,-28.0778
HYDRA,HYDRA_0048,164.0711,-28.0773
HYDRA,HYDRA_0049,150.1352,-29.4637
HYDRA,HYDRA_0050,151.7492,-29.4632
HYDRA,HYDRA_0051,153.3639,-29.4637
HYDRA,HYDRA_0052,154.9780,-29.4632
HYDRA,HYDRA_0053,156.5923,-29.4632
HYDRA,HYDRA_0054,158.2069,-29.4637
HYDRA,HYDRA_0055,159.8210,-29.4632
HYDRA,HYDRA_0056,161.4353,-29.4632
HYDRA,HYDRA_0057,163.0500,-29.4637
HYDRA,HYDRA_0058,164.6641,-29.4632
HYDRA,HYDRA_0059,150.5458,-30.8471
HYDRA,HYDRA_0060,152.1825,-30.8477
HYDRA,HYDRA_0061,153.8185,-30.8471
HYDRA,HYDRA_0063,157.0913,-30.8471
HYDRA,HYDRA_0064,158.7276,-30.8471
HYDRA,HYDRA_0065,160.3640,-30.8471
HYDRA,HYDRA_0066,162.0004,-30.8471
HYDRA,HYDRA_0067,163.6371,-30.8477
HYDRA,HYDRA_0068,150.9681,-32.2291
HYDRA,HYDRA_0069,152.6271,-32.2291
HYDRA,HYDRA_0070,154.2861,-32.2291
HYDRA,HYDRA_0071,155.9450,-32.2291
HYDRA,HYDRA_0072,157.6041,-32.2291
HYDRA,HYDRA_0073,159.2631,-32.2292
HYDRA,HYDRA_0074,160.9220,-32.2291
HYDRA,HYDRA_0075,162.5810,-32.2291
HYDRA,HYDRA_0076,164.2400,-32.2291
HYDRA,HYDRA_0077,150.4229,-33.6091
HYDRA,HYDRA_0078,152.1130,-33.6091
HYDRA,HYDRA_0079,153.8032,-33.6091
HYDRA,HYDRA_0080,155.4933,-33.6091
HYDRA,HYDRA_0081,157.1835,-33.6095
HYDRA,HYDRA_0082,158.8736,-33.6091
HYDRA,HYDRA_0083,160.5638,-33.6091
HYDRA,HYDRA_0085,163.9440,-33.6091
HYDRA,HYDRA_0086,150.8575,-34.9868
HYDRA,HYDRA_0087,152.5718,-34.9868
HYDRA,HYDRA_0088,154.2861,-34.9868
HYDRA,HYDRA_0089,156.0004,-34.9868
HYDRA,HYDRA_0091,159.4290,-34.9868
HYDRA,HYDRA_0092,161.1432,-34.9868
HYDRA,HYDRA_0093,162.8575,-34.9868
HYDRA,HYDRA_0094,164.5718,-34.9868
HYDRA,HYDRA_0095,151.3047,-36.3624
HYDRA,HYDRA_0097,154.7830,-36.3624
HYDRA,HYDRA_0098,156.5221,-36.3624
HYDRA,HYDRA_0099,158.2613,-36.3624
HYDRA,HYDRA_0100,160.0004,-36.3624
HYDRA,HYDRA_0101,161.7395,-36.3624
HYDRA,HYDRA_0102,163.4786,-36.3624
HYDRA,HYDRA_0103,150.7393,-37.7361
HYDRA,HYDRA_0105,154.2861,-37.7361
HYDRA,HYDRA_0106,156.0595,-37.7361
HYDRA,HYDRA_0107,157.8329,-37.7361
HYDRA,HYDRA_0108,159.6063,-37.7361
HYDRA,HYDRA_0109,161.3797,-37.7361
HYDRA,HYDRA_0110,163.1531,-37.7361
HYDRA,HYDRA_0111,164.9264,-37.7361
HYDRA,HYDRA_0112,150.1511,-39.1073
HYDRA,HYDRA_0113,151.9602,-39.1073
HYDRA,HYDRA_0114,153.7692,-39.1074
HYDRA,HYDRA_0115,155.5783,-39.1073
HYDRA,HYDRA_0116,157.3873,-39.1074
HYDRA,HYDRA_0117,159.1964,-39.1074
HYDRA,HYDRA_0118,161.0054,-39.1073
HYDRA,HYDRA_0119,162.8144,-39.1073
HYDRA,HYDRA_0120,164.6235,-39.1073
HYDRA,HYDRA_0121,151.3850,-40.4761
HYDRA,HYDRA_0122,153.2311,-40.4761
HYDRA,HYDRA_0123,155.0773,-40.4761
HYDRA,HYDRA_0124,156.9234,-40.4761
HYDRA,HYDRA_0125,158.7696,-40.4761
HYDRA,HYDRA_0126,160.6158,-40.4761
HYDRA,HYDRA_0127,162.4619,-40.4761
HYDRA,HYDRA_0128,164.3080,-40.4761
HYDRA,HYDRA_0129,150.7858,-41.8423
HYDRA,HYDRA_0130,152.6705,-41.8423
HYDRA,HYDRA_0131,154.5553,-41.8423
HYDRA,HYDRA_0132,156.4402,-41.8423
HYDRA,HYDRA_0133,158.3250,-41.8423
HYDRA,HYDRA_0134,160.2098,-41.8423
HYDRA,HYDRA_0135,162.0946,-41.8423
HYDRA,HYDRA_0137,150.1608,-43.2059
HYDRA,HYDRA_0138,152.0860,-43.2059
HYDRA,HYDRA_0139,154.0111,-43.2059
HYDRA,HYDRA_0140,155.9362,-43.2059
HYDRA,HYDRA_0141,157.8614,-43.2059
HYDRA,HYDRA_0142,159.7865,-43.2059
HYDRA,HYDRA_0143,161.7116,-43.2059
HYDRA,HYDRA_0144,163.6367,-43.2059
HYDRA,HYDRA_0145,151.4758,-44.5669
HYDRA,HYDRA_0146,153.4430,-44.5669
HYDRA,HYDRA_0147,155.4102,-44.5669
HYDRA,HYDRA_0148,157.3775,-44.5670
HYDRA,HYDRA_0149,159.3446,-44.5669
HYDRA,HYDRA_0150,161.3119,-44.5669
HYDRA,HYDRA_0151,163.2790,-44.5669
HYDRA,HYDRA_0152,150.8383,-45.9253
HYDRA,HYDRA_0153,152.8495,-45.9253
HYDRA,HYDRA_0154,154.8607,-45.9253
HYDRA,HYDRA_0155,156.8719,-45.9253
HYDRA,HYDRA_0156,158.8830,-45.9253
HYDRA,HYDRA_0157,160.8943,-45.9253
HYDRA,HYDRA_0158,162.9053,-45.9253
HYDRA,HYDRA_0159,164.9166,-45.9253
HYDRA,HYDRA_0160,150.1718,-47.2810
HYDRA,HYDRA_0161,152.2289,-47.2810
HYDRA,HYDRA_0162,154.2861,-47.2810
HYDRA,HYDRA_0163,156.3432,-47.2810
HYDRA,HYDRA_0164,158.4003,-47.2810
HYDRA,HYDRA_0165,160.4575,-47.2810
HYDRA,HYDRA_0166,162.5147,-47.2810
HYDRA,HYDRA_0167,164.5718,-47.2810
MC,MC0001,67.6926,-63.2679
MC,MC0002,70.7696,-63.2679
MC,MC0003,73.8465,-63.2679
MC,MC0004,76.9234,-63.2679
MC,MC0005,80.0004,-63.2679
MC,MC0006,83.0773,-63.2679
MC,MC0007,86.1542,-63.2679
MC,MC0008,89.2312,-63.2679
MC,MC0009,92.3080,-63.2679
MC,MC0010,95.3850,-63.2679
MC,MC0011,67.5004,-64.5687
MC,MC0012,70.7146,-64.5687
MC,MC0013,73.9289,-64.5687
MC,MC0014,77.1433,-64.5687
MC,MC0015,80.3575,-64.5687
MC,MC0016,83.5718,-64.5687
MC,MC0017,86.7861,-64.5687
MC,MC0018,90.0003,-64.5687
MC,MC0019,93.2146,-64.5687
MC,MC0020,96.4290,-64.5687
MC,MC0021,70.6546,-65.8633
MC,MC0022,74.0191,-65.8633
MC,MC0023,77.3835,-65.8633
MC,MC0024,80.7480,-65.8633
MC,MC0025,84.1125,-65.8633
MC,MC0026,87.4770,-65.8633
MC,MC0027,90.8415,-65.8633
MC,MC0028,94.2059,-65.8633
MC,MC0029,70.5886,-67.1513
MC,MC0030,74.1180,-67.1513
MC,MC0031,77.6474,-67.1513
MC,MC0032,81.1769,-67.1513
MC,MC0033,84.7063,-67.1513
MC,MC0034,88.2357,-67.1513
MC,MC0035,91.7651,-67.1513
MC,MC0036,95.2945,-67.1513
MC,MC0037,70.5159,-68.4322
MC,MC0038,74.2271,-68.4322
MC,MC0039,77.9385,-68.4322
MC,MC0040,81.6499,-68.4322
