iDR5_Field_Name,Field,PID,NAME,RA,DEC,RA_d,DEC_d,Reduction,Photometry,Ref_mag_inst
HYDRA-0011,HYDRA-0011,HYDRA,HYDRA_0011,10:03:05,-23:54:31,150.7708333,-23.90861111,JYPE,all,dual
HYDRA-0021,HYDRA-0021,HYDRA,HYDRA_0021,10:04:41,-25:18:01,151.1708333,-25.30027778,JYPE,all,dual
HYDRA-0031,HYDRA-0031,HYDRA,HYDRA_0031,10:06:19,-26:41:23,151.5791667,-26.68972222,JYPE,all,dual
HYDRA-0035,HYDRA-0035,HYDRA,HYDRA_0035,10:31:35,-26:41:23,157.8958333,-26.68972222,JYPE,all,dual
HYDRA-0036,HYDRA-0036,HYDRA,HYDRA_0036,10:37:54,-26:41:23,159.475,-26.68972222,JYPE,all,dual
HYDRA-0037,HYDRA-0037,HYDRA,HYDRA_0037,10:44:13,-26:41:23,161.0541667,-26.68972222,JYPE,all,dual
HYDRA-0039,HYDRA-0039,HYDRA,HYDRA_0039,10:56:51,-26:41:23,164.2125,-26.68972222,JYPE,all,dual
HYDRA-0041,HYDRA-0041,HYDRA,HYDRA_0041,10:11:41,-28:04:38,152.9208333,-28.07722222,JYPE,all,dual
HYDRA-0044,HYDRA-0044,HYDRA,HYDRA_0044,10:30:48,-28:04:38,157.7,-28.07722222,JYPE,all,dual
HYDRA-0045,HYDRA-0045,HYDRA,HYDRA_0045,10:37:10,-28:04:38,159.2916667,-28.07722222,JYPE,all,dual
HYDRA-0048,HYDRA-0048,HYDRA,HYDRA_0048,10:56:17,-28:04:38,164.0708333,-28.07722222,JYPE,all,dual
HYDRA-0050,HYDRA-0050,HYDRA,HYDRA_0050,10:07:00,-29:27:47,151.75,-29.46305556,JYPE,all,dual
HYDRA-0052,HYDRA-0052,HYDRA,HYDRA_0052,10:19:55,-29:27:47,154.9791667,-29.46305556,JYPE,all,dual
HYDRA-0053,HYDRA-0053,HYDRA,HYDRA_0053,10:26:22,-29:27:47,156.5916667,-29.46305556,JYPE,all,dual
HYDRA-0055,HYDRA-0055,HYDRA,HYDRA_0055,10:39:17,-29:27:47,159.8208333,-29.46305556,JYPE,all,dual
HYDRA-0056,HYDRA-0056,HYDRA,HYDRA_0056,10:45:44,-29:27:47,161.4333333,-29.46305556,JYPE,all,dual
HYDRA-0061,HYDRA-0061,HYDRA,HYDRA_0061,10:15:16,-30:50:50,153.8166667,-30.84722222,JYPE,all,dual
HYDRA-0062,HYDRA-0062,HYDRA,HYDRA_0062,10:21:49,-30:50:50,155.4541667,-30.84722222,JYPE,all,dual
HYDRA-0064,HYDRA-0064,HYDRA,HYDRA_0064,10:34:55,-30:50:50,158.7291667,-30.84722222,JYPE,all,dual
HYDRA-0069,HYDRA-0069,HYDRA,HYDRA_0069,10:10:30,-32:13:45,152.625,-32.22916667,JYPE,all,dual
HYDRA-0070,HYDRA-0070,HYDRA,HYDRA_0070,10:17:09,-32:13:45,154.2875,-32.22916667,JYPE,all,dual
HYDRA-0075,HYDRA-0075,HYDRA,HYDRA_0075,10:50:19,-32:13:45,162.5791667,-32.22916667,JYPE,all,dual
HYDRA-0077,HYDRA-0077,HYDRA,HYDRA_0077,10:01:41,-33:36:33,150.4208333,-33.60916667,JYPE,all,dual
HYDRA-0084,HYDRA-0084,HYDRA,HYDRA_0084,10:49:01,-33:36:33,162.2541667,-33.60916667,JYPE,all,dual
HYDRA-0085,HYDRA-0085,HYDRA,HYDRA_0085,10:55:46,-33:36:33,163.9416667,-33.60916667,JYPE,all,dual
HYDRA-0086,HYDRA-0086,HYDRA,HYDRA_0086,10:03:26,-34:59:12,150.8583333,-34.98666667,JYPE,all,dual
HYDRA-0093,HYDRA-0093,HYDRA,HYDRA_0093,10:51:26,-34:59:12,162.8583333,-34.98666667,JYPE,all,dual
HYDRA-0095,HYDRA-0095,HYDRA,HYDRA_0095,10:05:13,-36:21:45,151.3041667,-36.3625,JYPE,all,dual
HYDRA-0096,HYDRA-0096,HYDRA,HYDRA_0096,10:12:10,-36:21:45,153.0416667,-36.3625,JYPE,all,dual
HYDRA-0102,HYDRA-0102,HYDRA,HYDRA_0102,10:53:55,-36:21:45,163.4791667,-36.3625,JYPE,all,dual
HYDRA-0103,HYDRA-0103,HYDRA,HYDRA_0103,10:02:57,-37:44:10,150.7375,-37.73611111,JYPE,all,dual
HYDRA-0104,HYDRA-0104,HYDRA,HYDRA_0104,10:10:03,-37:44:10,152.5125,-37.73611111,JYPE,all,dual
HYDRA-0111,HYDRA-0111,HYDRA,HYDRA_0111,10:59:42,-37:44:10,164.925,-37.73611111,JYPE,all,dual
HYDRA-0112,HYDRA-0112,HYDRA,HYDRA_0112,10:00:36,-39:06:26,150.15,-39.10722222,JYPE,all,dual
HYDRA-0120,HYDRA-0120,HYDRA,HYDRA_0120,10:58:30,-39:06:26,164.625,-39.10722222,JYPE,all,dual
HYDRA-0121,HYDRA-0121,HYDRA,HYDRA_0121,10:05:32,-40:28:34,151.3833333,-40.47611111,JYPE,all,dual
HYDRA-0129,HYDRA-0129,HYDRA,HYDRA_0129,10:03:08,-41:50:32,150.7833333,-41.84222222,JYPE,all,dual
HYDRA-0136,HYDRA-0136,HYDRA,HYDRA_0136,10:55:55,-41:50:32,163.9791667,-41.84222222,JYPE,all,dual
HYDRA-0137,HYDRA-0137,HYDRA,HYDRA_0137,10:00:39,-43:12:21,150.1625,-43.20583333,JYPE,all,dual
HYDRA-D-0001,HYDRA-D-0001,HYDRA_D,HYDRA_D_0001,10:33:25,-34:38:06,158.3541667,-34.64,JYPE,all,dual
HYDRA-D-0002,HYDRA-D-0002,HYDRA_D,HYDRA_D_0002,10:26:43,-34:37:55,156.6791667,-34.63,JYPE,all,dual
HYDRA-D-0003,HYDRA-D-0003,HYDRA_D,HYDRA_D_0003,10:33:28,-36:00:19,158.3666667,-36.01,JYPE,all,dual
HYDRA-D-0004,HYDRA-D-0004,HYDRA_D,HYDRA_D_0004,10:26:40,-36:00:29,156.6666667,-36.00805556,JYPE,all,dual
MC0001,MC0001,MC,MC0001,4:30:46,-63:16:04,67.69166667,-63.26777778,JYPE,all,psf
MC0003,MC0003,MC,MC0003,4:55:23,-63:16:04,73.84583333,-63.26777778,JYPE,all,psf
MC0004,MC0004,MC,MC0004,5:07:42,-63:16:04,76.925,-63.26777778,JYPE,psf,psf
MC0005,MC0005,MC,MC0005,5:20:00,-63:16:04,80.0,-63.26777778,JYPE,psf,psf
MC0006,MC0006,MC,MC0006,5:32:18,-63:16:04,83.075,-63.26777778,JYPE,psf,psf
MC0007,MC0007,MC,MC0007,5:44:37,-63:16:04,86.15416667,-63.26777778,JYPE,psf,psf
MC0008,MC0008,MC,MC0008,5:56:55,-63:16:04,89.22916667,-63.26777778,JYPE,psf,psf
MC0009,MC0009,MC,MC0009,6:09:14,-63:16:04,92.30833333,-63.26777778,JYPE,all,psf
MC0010,MC0010,MC,MC0010,6:21:32,-63:16:04,95.38333333,-63.26777778,JYPE,all,psf
MC0011,MC0011,MC,MC0011,4:30:00,-64:34:07,67.5,-64.56861111,JYPE,all,psf
MC0012,MC0012,MC,MC0012,4:42:51,-64:34:07,70.7125,-64.56861111,JYPE,all,psf
MC0013,MC0013,MC,MC0013,4:55:43,-64:34:07,73.92916667,-64.56861111,JYPE,psf,psf
MC0014,MC0014,MC,MC0014,5:08:34,-64:34:07,77.14166667,-64.56861111,JYPE,psf,psf
MC0015,MC0015,MC,MC0015,5:21:26,-64:34:07,80.35833333,-64.56861111,JYPE,psf,psf
MC0016,MC0016,MC,MC0016,5:34:17,-64:34:07,83.57083333,-64.56861111,JYPE,psf,psf
MC0017,MC0017,MC,MC0017,5:47:09,-64:34:07,86.7875,-64.56861111,JYPE,psf,psf
MC0018,MC0018,MC,MC0018,6:00:00,-64:34:07,90.0,-64.56861111,JYPE,psf,psf
MC0019,MC0019,MC,MC0019,6:12:51,-64:34:07,93.2125,-64.56861111,JYPE,all,psf
MC0020,MC0020,MC,MC0020,6:25:43,-64:34:07,96.42916667,-64.56861111,JYPE,all,psf
MC0021,MC0021,MC,MC0021,4:42:37,-65:51:48,70.65416667,-65.86333333,JYPE,psf,psf
MC0022,MC0022,MC,MC0022,4:56:04,-65:51:48,74.01666667,-65.86333333,JYPE,psf,psf
MC0023,MC0023,MC,MC0023,5:09:32,-65:51:48,77.38333333,-65.86333333,JYPE,psf,psf
MC0024,MC0024,MC,MC0024,5:22:59,-65:51:48,80.74583333,-65.86333333,JYPE,psf,psf
MC0025,MC0025,MC,MC0025,5:36:27,-65:51:48,84.1125,-65.86333333,JYPE,psf,psf
MC0026,MC0026,MC,MC0026,5:49:54,-65:51:48,87.475,-65.86333333,JYPE,psf,psf
MC0027,MC0027,MC,MC0027,6:03:22,-65:51:48,90.84166667,-65.86333333,JYPE,psf,psf
MC0029,MC0029,MC,MC0029,4:42:21,-67:09:05,70.5875,-67.15138889,JYPE,psf,psf
MC0030,MC0030,MC,MC0030,4:56:28,-67:09:05,74.11666667,-67.15138889,JYPE,psf,psf
MC0032,MC0032,MC,MC0032,5:24:42,-67:09:05,81.175,-67.15138889,JYPE,psf,psf
MC0033,MC0033,MC,MC0033,5:38:49,-67:09:05,84.70416667,-67.15138889,JYPE,psf,psf
MC0034,MC0034,MC,MC0034,5:52:56,-67:09:05,88.23333333,-67.15138889,JYPE,psf,psf
MC0035,MC0035,MC,MC0035,6:07:04,-67:09:05,91.76666667,-67.15138889,JYPE,psf,psf
MC0036,MC0036,MC,MC0036,6:21:11,-67:09:05,95.29583333,-67.15138889,JYPE,all,psf
MC0038,MC0038,MC,MC0038,4:56:54,-68:25:56,74.225,-68.43222222,JYPE,psf,psf
